temperature_C,soaking_day,sbf_amorphous_pct,sbf_wollastonite_pct,sbf_hydroxyapatite_pct,sbf_whitlockite_pct,initial_amorphous_pct,initial_wollastonite_pct,initial_hydroxyapatite_pct,initial_whitlockite_pct,initial_crystallinity_pct,sbf_crystallinity_pct,hydroxyapatite_gain_pct,wollastonite_change_pct
700,3,47.8,4.75,37.96,9.49,54.4,4.14,37.31,8.29,45.6,52.2,0.6499999999999986,0.6100000000000003
700,5,49.3,4.6,36.87,9.23,54.4,4.14,37.31,8.29,45.6,50.7,-0.44000000000000483,0.45999999999999996
700,7,40.1,5.45,43.56,10.89,54.4,4.14,37.31,8.29,45.6,59.9,6.25,1.3100000000000005
700,14,39.6,5.49,43.92,10.98,54.4,4.14,37.31,8.29,45.6,60.4,6.609999999999999,1.3500000000000005
700,21,44.6,5.04,40.29,10.07,54.4,4.14,37.31,8.29,45.6,55.4,2.979999999999997,0.9000000000000004
800,3,45.7,13.58,9.04,31.68,59.6,10.1,6.73,23.57,40.4,54.3,2.3099999999999987,3.4800000000000004
800,5,40.6,14.85,9.9,34.65,59.6,10.1,6.73,23.57,40.4,59.4,3.17,4.75
800,7,41.8,14.55,9.7,33.95,59.6,10.1,6.73,23.57,40.4,58.2,2.969999999999999,4.450000000000001
800,14,39.1,15.23,10.15,35.53,59.6,10.1,6.73,23.57,40.4,60.9,3.42,5.130000000000001
800,21,41.0,14.75,9.83,34.42,59.6,10.1,6.73,23.57,40.4,59.0,3.0999999999999996,4.65
900,3,42.5,8.63,20.13,28.5,36.0,9.6,22.4,32.0,64.0,57.5,-2.2699999999999996,-0.9699999999999989
900,5,43.7,8.45,19.71,28.15,36.0,9.6,22.4,32.0,64.0,56.3,-2.6899999999999977,-1.1500000000000004
900,7,36.7,9.5,22.16,31.65,36.0,9.6,22.4,32.0,64.0,63.3,-0.23999999999999844,-0.09999999999999964
900,14,38.7,9.2,21.4,30.65,36.0,9.6,22.4,32.0,64.0,61.3,-1.0,-0.40000000000000036
900,21,42.7,8.6,20.06,28.65,36.0,9.6,22.4,32.0,64.0,57.3,-2.34,-1.0
1000,3,25.5,15.52,21.73,37.25,30.8,14.42,20.18,34.6,69.2,74.5,1.5500000000000007,1.0999999999999996
1000,5,32.9,13.96,19.57,33.55,30.8,14.42,20.18,34.6,69.2,67.1,-0.6099999999999994,-0.4599999999999991
1000,7,28.3,14.94,20.91,35.85,30.8,14.42,20.18,34.6,69.2,71.7,0.7300000000000004,0.5199999999999996
1000,14,30.7,14.44,20.21,34.65,30.8,14.42,20.18,34.6,69.2,69.3,0.030000000000001137,0.019999999999999574
1000,21,28.5,14.9,20.85,35.75,30.8,14.42,20.18,34.6,69.2,71.5,0.6700000000000017,0.4800000000000004
1100,3,29.6,19.71,11.26,39.42,22.6,21.67,12.38,43.34,77.4,70.4,-1.120000000000001,-1.9600000000000009
1100,5,28.8,19.94,11.39,39.87,22.6,21.67,12.38,43.34,77.4,71.2,-0.9900000000000002,-1.7300000000000004
1100,7,28.6,19.99,11.42,39.98,22.6,21.67,12.38,43.34,77.4,71.4,-0.9600000000000009,-1.6800000000000033
1100,14,26.1,20.69,11.82,41.38,22.6,21.67,12.38,43.34,77.4,73.9,-0.5600000000000005,-0.9800000000000004
1100,21,23.8,21.34,12.19,42.67,22.6,21.67,12.38,43.34,77.4,76.2,-0.19000000000000128,-0.33000000000000185
